,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture
2024-10-25 10:35:59.4210,0.5745203780968191,0.6659698996655519,0.004846035246546,0.6700111482720178,0.6659698996655519,0.1418190913663881,0.5007834534628643,0.0054445256133206,0.5048773690078038,0.5007834534628643,0.4974292602448324,0.4966555183946488,0.5,0 days 00:01:19.523840,15min,True,random_3,3,None,transformer
2024-10-26 15:49:02.9776,0.5357139177334677,0.6989966555183946,0.1404416381737802,0.7504180602006689,0.6659698996655519,49.60464426785876,0.5008880994671403,0.6481389383806141,0.6166308329351807,0.5007834534628643,0.4687136384385063,0.4862911092530658,0.5,0 days 00:20:20.604142,24H,False,random_3,5,None,transformer
2024-10-25 18:51:29.1853,0.1659662990009205,0.6888238573021181,0.0552376342062793,0.7509754738015608,0.6659698996655519,-0.1292455192531153,0.5009932043910088,0.1377060186415437,0.6126094919573181,0.5007834534628643,0.4692797974171349,0.500534188034188,0.5,0 days 00:43:21.961535,6H,False,random_3,3,None,transformer
2024-10-25 19:28:31.8106,0.1659865198076242,0.6884057971014492,0.0551815149225492,0.7497212931995542,0.6659698996655519,3.1700794933954595,0.501312060459746,0.1328318372621156,0.6109093804745979,0.5007834534628643,0.4727254188751493,0.5007838628762542,0.5,0 days 01:01:51.734508,6H,False,random_3,5,None,transformer
2024-10-26 15:25:47.3071,0.2537965102009535,0.6659698996655519,0.0031247335159954,0.6715440356744705,0.6659698996655519,0.2525478192869839,0.5007834534628643,0.0045278341697507,0.5062709030100334,0.5007834534628643,0.5018539076754502,0.5020903010033445,0.5,0 days 00:00:36.276771,24H,True,random_3,5,None,transformer
2024-10-26 04:12:51.2039,0.4700277381841711,0.6659698996655519,0.0046304208473147,0.6709866220735786,0.6659698996655519,0.1336606079194198,0.5007834534628643,0.0057295215675307,0.5058528428093646,0.5007834534628643,0.501727721135691,0.5016199832775919,0.5,0 days 00:00:42.625014,12H,True,random_3,3,None,transformer
2024-10-25 18:06:56.8172,0.4880128107657904,0.6659698996655519,0.0039424811468546,0.6712653288740246,0.6659698996655519,0.083519016227003,0.5007834534628643,0.0050710646957733,0.5059921962095875,0.5007834534628643,0.501405903993649,0.5012541806020067,0.5,0 days 00:00:47.885598,6H,True,random_3,3,None,transformer
2024-10-27 14:01:54.7086,2.7370059301475056,0.8008775428799362,0.5717413061329315,0.8403536763728228,0.7989030714000798,41.159719431378434,0.4163288732646984,1.122659380691165,0.524115886819313,0.3348554538963519,0.5764034724296625,0.5888888750387804,0.5,0 days 13:09:42.181283,24H,False,random_5,5,None,transformer
2024-10-27 13:35:48.3826,0.1448981334064469,0.8005983246908656,0.0197162552250625,0.8177835394229492,0.7989030714000798,-1.8491533531270176e-06,0.3376534251352841,0.0147406718592864,0.4153498131156367,0.3348554538963519,0.4872128659792902,0.497653864813443,0.5,2 days 02:31:01.168564,15min,False,random_5,5,None,transformer
2024-10-26 16:44:32.3835,0.2518162515269361,0.7989296636085627,0.0062481831546615,0.8007578779417631,0.7989030714000798,0.0,0.3348554538963519,0.0059474263614933,0.3372382968713244,0.3348554538963519,0.5023273789900248,0.5022621164707074,0.5,0 days 01:02:51.450487,24H,True,random_5,3,None,transformer
2024-10-25 11:54:35.7557,0.5750971700297535,0.7989030714000798,0.0070903071675717,0.7993551389442894,0.7989030714000798,0.0891928327854897,0.3348554538963519,0.004628925781415,0.3353184303323913,0.3348554538963519,0.4975464565350377,0.4965960548559272,0.5,0 days 01:17:14.824424,15min,True,random_5,5,None,transformer
2024-10-27 05:50:04.2583,0.3107330386548473,0.8139609094535302,0.1189209035659315,0.8482914506049728,0.7989030714000798,1.9062436448469808,0.3898281548342301,0.16950803419769,0.528968180560407,0.3348554538963519,0.5794832632323254,0.6043300860764463,0.5,1 days 10:21:24.823690,6H,False,random_5,5,None,transformer
2024-10-29 11:59:00.5956,0.220240556426147,0.800392235075123,0.0290912348742415,0.8302752293577982,0.7989030714000798,-1.8799927449715525e-11,0.3364028519702287,0.0338760002610676,0.4700952636836725,0.3348554538963519,0.5303766578612673,0.5512602668876352,0.5,3 days 21:44:21.844288,1H,False,random_5,5,None,transformer
